
TEST CASES
case	firstName	lastName	email	gender	mobileNumber	dateOfBirth	hobbiesSports	hobbiesReading	hobbiesMusic	fileType	location	address	pairings
1	Lewies Thor	Thor	lewiesthor@gmail.com	M	91239123	17061995	TRUE	TRUE	TRUE	txt	WEST	test address blk 1 #01-01	66
2	empty	empty	lewiesthor	F	91239123	17062050	FALSE	FALSE	FALSE	img	EAST	91239123	66
3	1234	4321	lewiesthor	empty	9123912	17061850	TRUE	FALSE	TRUE	pdf	WEST	!@#$!@#$	62
4	!@#$	$#@!	lewiesthor@gmail.com	M	9123912	19950617	FALSE	TRUE	FALSE	empty	EAST	empty	60
5	empty	4321	lewiesthor@gmail	F	912391234	17061995	TRUE	TRUE	FALSE	empty	SOUTH	test address blk 1 #01-01	53
6	Lewies Thor	$#@!	@gmail.com	empty	912391234	17062050	FALSE	TRUE	TRUE	pdf	NORTH	91239123	53
7	!@#$	Thor	@gmail.com	M	text	17061850	FALSE	FALSE	FALSE	img	SOUTH	!@#$!@#$	49
8	1234	empty	lewiesthor@gmail	F	text	19950617	TRUE	FALSE	TRUE	txt	NORTH	empty	49
9	1234	$#@!	empty	empty	!@#$	empty	TRUE	TRUE	FALSE	img	CENTRAL	test address blk 1 #01-01	52
10	!@#$	empty	empty	M	!@#$	17061995	FALSE	FALSE	TRUE	pdf	empty	91239123	43
11	Lewies Thor	empty	lewiesthor@gmail.com	F	empty	empty	FALSE	FALSE	TRUE	empty	CENTRAL	!@#$!@#$	44
12	1234	Thor	lewiesthor	empty	empty	17062050	FALSE	TRUE	FALSE	txt	empty	test address blk 1 #01-01	34
13	!@#$	4321	lewiesthor@gmail	M	912391234	17062050	FALSE	FALSE	TRUE	img	WEST	empty	28
14	empty	$#@!	@gmail.com	empty	text	17061995	TRUE	TRUE	TRUE	pdf	EAST	!@#$!@#$	27
15	empty	Thor	@gmail.com	F	empty	19950617	TRUE	~FALSE	FALSE	pdf	WEST	empty	26
16	Lewies Thor	$#@!	empty	F	91239123	17061850	~FALSE	TRUE	FALSE	txt	SOUTH	empty	25
17	!@#$	4321	lewiesthor@gmail.com	empty	91239123	empty	TRUE	~FALSE	FALSE	empty	NORTH	91239123	24
18	Lewies Thor	empty	lewiesthor	M	9123912	empty	~TRUE	TRUE	TRUE	pdf	SOUTH	test address blk 1 #01-01	18
19	empty	Thor	lewiesthor@gmail	F	9123912	17061850	TRUE	~TRUE	~TRUE	empty	empty	91239123	20
20	Lewies Thor	4321	lewiesthor@gmail	empty	!@#$	19950617	~FALSE	~TRUE	~FALSE	img	NORTH	!@#$!@#$	18
21	1234	Thor	empty	M	!@#$	17062050	TRUE	FALSE	~TRUE	empty	EAST	test address blk 1 #01-01	16
22	!@#$	$#@!	lewiesthor	M	empty	17061995	~TRUE	FALSE	~TRUE	txt	CENTRAL	empty	17
23	empty	empty	@gmail.com	M	912391234	empty	~FALSE	~TRUE	~FALSE	txt	CENTRAL	!@#$!@#$	15
24	1234	4321	lewiesthor@gmail.com	empty	text	empty	~FALSE	~TRUE	~FALSE	img	empty	empty	13
25	!@#$	empty	@gmail.com	F	!@#$	17061850	~FALSE	~TRUE	~FALSE	txt	WEST	test address blk 1 #01-01	11
26	1234	4321	@gmail.com	~M	91239123	19950617	~TRUE	~FALSE	~TRUE	txt	empty	91239123	12
27	empty	4321	empty	M	empty	17061995	~FALSE	~FALSE	~TRUE	img	NORTH	test address blk 1 #01-01	12
28	Lewies Thor	empty	empty	empty	text	17062050	~TRUE	~FALSE	~FALSE	empty	WEST	!@#$!@#$	10
29	1234	Thor	lewiesthor@gmail.com	~F	912391234	17061850	~TRUE	~FALSE	~FALSE	pdf	EAST	~91239123	8
30	1234	$#@!	lewiesthor@gmail	~F	9123912	17061995	~FALSE	~FALSE	~FALSE	pdf	CENTRAL	91239123	8
31	empty	~$#@!	lewiesthor@gmail.com	empty	empty	19950617	~TRUE	~TRUE	~TRUE	~img	SOUTH	91239123	7
32	Lewies Thor	Thor	lewiesthor@gmail	~empty	91239123	empty	~FALSE	~FALSE	~TRUE	txt	EAST	!@#$!@#$	8
33	~!@#$	Thor	lewiesthor	~F	9123912	19950617	~FALSE	~TRUE	~TRUE	empty	NORTH	test address blk 1 #01-01	6
34	empty	~empty	lewiesthor@gmail.com	~empty	!@#$	17062050	~TRUE	~FALSE	~FALSE	~txt	SOUTH	empty	6
35	Lewies Thor	$#@!	empty	~F	912391234	19950617	~TRUE	~TRUE	~FALSE	~img	empty	!@#$!@#$	7
36	~Lewies Thor	4321	lewiesthor	~M	text	17061850	~FALSE	~TRUE	~TRUE	~empty	CENTRAL	91239123	5
37	~1234	$#@!	@gmail.com	~empty	9123912	empty	~FALSE	~FALSE	~FALSE	empty	WEST	91239123	5
38	~!@#$	4321	lewiesthor@gmail	~empty	empty	17061850	~TRUE	~TRUE	~FALSE	~pdf	EAST	~test address blk 1 #01-01	4
39	~!@#$	Thor	empty	~empty	9123912	17062050	~TRUE	~TRUE	~TRUE	img	CENTRAL	~empty	5
40	~1234	~empty	~@gmail.com	~M	91239123	19950617	~FALSE	~FALSE	~TRUE	pdf	CENTRAL	~test address blk 1 #01-01	3
41	~empty	~$#@!	lewiesthor	~M	912391234	17061850	~TRUE	~FALSE	~FALSE	~txt	NORTH	~empty	2
42	1234	~4321	lewiesthor	~F	!@#$	~17061995	~FALSE	~TRUE	~TRUE	~empty	SOUTH	~!@#$!@#$	2
43	~empty	~$#@!	~empty	~F	text	~empty	~FALSE	~FALSE	~TRUE	~pdf	~WEST	test address blk 1 #01-01	1
44	~Lewies Thor	~4321	~@gmail.com	~empty	9123912	~17061995	~TRUE	~TRUE	~FALSE	txt	~SOUTH	~empty	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
mobileNumber	firstName	!@#$	1234	3	9, 21, 42
mobileNumber	firstName	!@#$	!@#$	2	10, 25
mobileNumber	firstName	empty	Lewies Thor	1	11
mobileNumber	firstName	empty	empty	3	15, 27, 31
mobileNumber	firstName	empty	1234	1	12
mobileNumber	firstName	empty	!@#$	2	22, 38
mobileNumber	lastName	91239123	Thor	2	1, 32
mobileNumber	lastName	91239123	empty	2	2, 40
mobileNumber	lastName	91239123	4321	2	17, 26
mobileNumber	lastName	91239123	$#@!	1	16
mobileNumber	lastName	9123912	Thor	3	19, 33, 39
mobileNumber	lastName	9123912	empty	1	18
mobileNumber	lastName	9123912	4321	2	3, 44
mobileNumber	lastName	9123912	$#@!	3	4, 30, 37
mobileNumber	lastName	912391234	Thor	1	29
mobileNumber	lastName	912391234	empty	1	23
mobileNumber	lastName	912391234	4321	2	5, 13
mobileNumber	lastName	912391234	$#@!	3	6, 35, 41
mobileNumber	lastName	text	Thor	1	7
mobileNumber	lastName	text	empty	2	8, 28
mobileNumber	lastName	text	4321	2	24, 36
mobileNumber	lastName	text	$#@!	2	14, 43
mobileNumber	lastName	!@#$	Thor	1	21
mobileNumber	lastName	!@#$	empty	3	10, 25, 34
mobileNumber	lastName	!@#$	4321	2	20, 42
mobileNumber	lastName	!@#$	$#@!	1	9
mobileNumber	lastName	empty	Thor	2	12, 15
mobileNumber	lastName	empty	empty	1	11
mobileNumber	lastName	empty	4321	2	27, 38
mobileNumber	lastName	empty	$#@!	2	22, 31
mobileNumber	fileType	91239123	txt	4	1, 16, 26, 32
mobileNumber	fileType	91239123	img	1	2
mobileNumber	fileType	91239123	pdf	1	40
mobileNumber	fileType	91239123	empty	1	17
mobileNumber	fileType	9123912	txt	1	44
mobileNumber	fileType	9123912	img	1	39
mobileNumber	fileType	9123912	pdf	3	3, 18, 30
mobileNumber	fileType	9123912	empty	4	4, 19, 33, 37
mobileNumber	fileType	912391234	txt	2	23, 41
mobileNumber	fileType	912391234	img	2	13, 35
mobileNumber	fileType	912391234	pdf	2	6, 29
mobileNumber	fileType	912391234	empty	1	5
mobileNumber	fileType	text	txt	1	8
mobileNumber	fileType	text	img	2	7, 24
mobileNumber	fileType	text	pdf	2	14, 43
mobileNumber	fileType	text	empty	2	28, 36
mobileNumber	fileType	!@#$	txt	2	25, 34
mobileNumber	fileType	!@#$	img	2	9, 20
mobileNumber	fileType	!@#$	pdf	1	10
mobileNumber	fileType	!@#$	empty	2	21, 42
mobileNumber	fileType	empty	txt	2	12, 22
mobileNumber	fileType	empty	img	2	27, 31
mobileNumber	fileType	empty	pdf	2	15, 38
mobileNumber	fileType	empty	empty	1	11
mobileNumber	address	91239123	test address blk 1 #01-01	2	1, 40
mobileNumber	address	91239123	91239123	3	2, 17, 26
mobileNumber	address	91239123	!@#$!@#$	1	32
mobileNumber	address	91239123	empty	1	16
mobileNumber	address	9123912	test address blk 1 #01-01	2	18, 33
mobileNumber	address	9123912	91239123	3	19, 30, 37
mobileNumber	address	9123912	!@#$!@#$	1	3
mobileNumber	address	9123912	empty	3	4, 39, 44
mobileNumber	address	912391234	test address blk 1 #01-01	1	5
mobileNumber	address	912391234	91239123	2	6, 29
mobileNumber	address	912391234	!@#$!@#$	2	23, 35
mobileNumber	address	912391234	empty	2	13, 41
mobileNumber	address	text	test address blk 1 #01-01	1	43
mobileNumber	address	text	91239123	1	36
mobileNumber	address	text	!@#$!@#$	3	7, 14, 28
mobileNumber	address	text	empty	2	8, 24
mobileNumber	address	!@#$	test address blk 1 #01-01	3	9, 21, 25
mobileNumber	address	!@#$	91239123	1	10
mobileNumber	address	!@#$	!@#$!@#$	2	20, 42
mobileNumber	address	!@#$	empty	1	34
mobileNumber	address	empty	test address blk 1 #01-01	3	12, 27, 38
mobileNumber	address	empty	91239123	1	31
mobileNumber	address	empty	!@#$!@#$	1	11
mobileNumber	address	empty	empty	2	15, 22
mobileNumber	gender	91239123	M	3	1, 26, 40
mobileNumber	gender	91239123	F	2	2, 16
mobileNumber	gender	91239123	empty	2	17, 32
mobileNumber	gender	9123912	M	2	4, 18
mobileNumber	gender	9123912	F	3	19, 30, 33
mobileNumber	gender	9123912	empty	4	3, 37, 39, 44
mobileNumber	gender	912391234	M	3	13, 23, 41
mobileNumber	gender	912391234	F	3	5, 29, 35
mobileNumber	gender	912391234	empty	1	6
mobileNumber	gender	text	M	2	7, 36
mobileNumber	gender	text	F	2	8, 43
mobileNumber	gender	text	empty	3	14, 24, 28
mobileNumber	gender	!@#$	M	2	10, 21
mobileNumber	gender	!@#$	F	2	25, 42
mobileNumber	gender	!@#$	empty	3	9, 20, 34
mobileNumber	gender	empty	M	2	22, 27
mobileNumber	gender	empty	F	2	11, 15
mobileNumber	gender	empty	empty	3	12, 31, 38
mobileNumber	hobbiesSports	91239123	TRUE	3	1, 17, 26
mobileNumber	hobbiesSports	91239123	FALSE	4	2, 16, 32, 40
mobileNumber	hobbiesSports	9123912	TRUE	5	3, 18, 19, 39, 44
mobileNumber	hobbiesSports	9123912	FALSE	4	4, 30, 33, 37
mobileNumber	hobbiesSports	912391234	TRUE	4	5, 29, 35, 41
mobileNumber	hobbiesSports	912391234	FALSE	3	6, 13, 23
mobileNumber	hobbiesSports	text	TRUE	3	8, 14, 28
mobileNumber	hobbiesSports	text	FALSE	4	7, 24, 36, 43
mobileNumber	hobbiesSports	!@#$	TRUE	3	9, 21, 34
mobileNumber	hobbiesSports	!@#$	FALSE	4	10, 20, 25, 42
mobileNumber	hobbiesSports	empty	TRUE	4	15, 22, 31, 38
mobileNumber	hobbiesSports	empty	FALSE	3	11, 12, 27
mobileNumber	hobbiesReading	91239123	TRUE	2	1, 16
mobileNumber	hobbiesReading	91239123	FALSE	5	2, 17, 26, 32, 40
mobileNumber	hobbiesReading	9123912	TRUE	6	4, 18, 19, 33, 39, 44
mobileNumber	hobbiesReading	9123912	FALSE	3	3, 30, 37
mobileNumber	hobbiesReading	912391234	TRUE	4	5, 6, 23, 35
mobileNumber	hobbiesReading	912391234	FALSE	3	13, 29, 41
mobileNumber	hobbiesReading	text	TRUE	3	14, 24, 36
mobileNumber	hobbiesReading	text	FALSE	4	7, 8, 28, 43
mobileNumber	hobbiesReading	!@#$	TRUE	4	9, 20, 25, 42
mobileNumber	hobbiesReading	!@#$	FALSE	3	10, 21, 34
mobileNumber	hobbiesReading	empty	TRUE	3	12, 31, 38
mobileNumber	hobbiesReading	empty	FALSE	4	11, 15, 22, 27
mobileNumber	hobbiesMusic	91239123	TRUE	4	1, 26, 32, 40
mobileNumber	hobbiesMusic	91239123	FALSE	3	2, 16, 17
mobileNumber	hobbiesMusic	9123912	TRUE	5	3, 18, 19, 33, 39
mobileNumber	hobbiesMusic	9123912	FALSE	4	4, 30, 37, 44
mobileNumber	hobbiesMusic	912391234	TRUE	2	6, 13
mobileNumber	hobbiesMusic	912391234	FALSE	5	5, 23, 29, 35, 41
mobileNumber	hobbiesMusic	text	TRUE	4	8, 14, 36, 43
mobileNumber	hobbiesMusic	text	FALSE	3	7, 24, 28
mobileNumber	hobbiesMusic	!@#$	TRUE	3	10, 21, 42
mobileNumber	hobbiesMusic	!@#$	FALSE	4	9, 20, 25, 34
mobileNumber	hobbiesMusic	empty	TRUE	4	11, 22, 27, 31
mobileNumber	hobbiesMusic	empty	FALSE	3	12, 15, 38
location	email	WEST	lewiesthor@gmail.com	1	1
location	email	WEST	lewiesthor	1	3
location	email	WEST	lewiesthor@gmail	1	13
location	email	WEST	@gmail.com	3	15, 25, 37
location	email	WEST	empty	2	28, 43
location	email	EAST	lewiesthor@gmail.com	2	4, 29
location	email	EAST	lewiesthor	1	2
location	email	EAST	lewiesthor@gmail	2	32, 38
location	email	EAST	@gmail.com	1	14
location	email	EAST	empty	1	21
location	email	SOUTH	lewiesthor@gmail.com	2	31, 34
location	email	SOUTH	lewiesthor	2	18, 42
location	email	SOUTH	lewiesthor@gmail	1	5
location	email	SOUTH	@gmail.com	2	7, 44
location	email	SOUTH	empty	1	16
location	email	NORTH	lewiesthor@gmail.com	1	17
location	email	NORTH	lewiesthor	2	33, 41
location	email	NORTH	lewiesthor@gmail	2	8, 20
location	email	NORTH	@gmail.com	1	6
location	email	NORTH	empty	1	27
location	email	CENTRAL	lewiesthor@gmail.com	1	11
location	email	CENTRAL	lewiesthor	2	22, 36
location	email	CENTRAL	lewiesthor@gmail	1	30
location	email	CENTRAL	@gmail.com	2	23, 40
location	email	CENTRAL	empty	2	9, 39
location	email	empty	lewiesthor@gmail.com	1	24
location	email	empty	lewiesthor	1	12
location	email	empty	lewiesthor@gmail	1	19
location	email	empty	@gmail.com	1	26
location	email	empty	empty	2	10, 35
location	dateOfBirth	WEST	17061995	1	1
location	dateOfBirth	WEST	17062050	2	13, 28
location	dateOfBirth	WEST	17061850	2	3, 25
location	dateOfBirth	WEST	19950617	1	15
location	dateOfBirth	WEST	empty	2	37, 43
location	dateOfBirth	EAST	17061995	1	14
location	dateOfBirth	EAST	17062050	2	2, 21
location	dateOfBirth	EAST	17061850	2	29, 38
location	dateOfBirth	EAST	19950617	1	4
location	dateOfBirth	EAST	empty	1	32
location	dateOfBirth	SOUTH	17061995	3	5, 42, 44
location	dateOfBirth	SOUTH	17062050	1	34
location	dateOfBirth	SOUTH	17061850	2	7, 16
location	dateOfBirth	SOUTH	19950617	1	31
location	dateOfBirth	SOUTH	empty	1	18
location	dateOfBirth	NORTH	17061995	1	27
location	dateOfBirth	NORTH	17062050	1	6
location	dateOfBirth	NORTH	17061850	1	41
location	dateOfBirth	NORTH	19950617	3	8, 20, 33
location	dateOfBirth	NORTH	empty	1	17
location	dateOfBirth	CENTRAL	17061995	2	22, 30
location	dateOfBirth	CENTRAL	17062050	1	39
location	dateOfBirth	CENTRAL	17061850	1	36
location	dateOfBirth	CENTRAL	19950617	1	40
location	dateOfBirth	CENTRAL	empty	3	9, 11, 23
location	dateOfBirth	empty	17061995	1	10
location	dateOfBirth	empty	17062050	1	12
location	dateOfBirth	empty	17061850	1	19
location	dateOfBirth	empty	19950617	2	26, 35
location	dateOfBirth	empty	empty	1	24
location	firstName	WEST	Lewies Thor	2	1, 28
location	firstName	WEST	empty	2	15, 43
location	firstName	WEST	1234	2	3, 37
location	firstName	WEST	!@#$	2	13, 25
location	firstName	EAST	Lewies Thor	1	32
location	firstName	EAST	empty	2	2, 14
location	firstName	EAST	1234	2	21, 29
location	firstName	EAST	!@#$	2	4, 38
location	firstName	SOUTH	Lewies Thor	3	16, 18, 44
location	firstName	SOUTH	empty	3	5, 31, 34
